LAUS Code;State FIPS Code;County FIPS Code;County Name/State Abbreviation;Year;Labor Force;Employed;Unemployed;Unemployment Rate (%)
CN0100100000000;01;001;Autauga County, AL;2019;26,683;25,914;769;2.9
CN0100300000000;01;003;Baldwin County, AL;2019;98,917;96,023;2,894;2.9
CN0100500000000;01;005;Barbour County, AL;2019;8,637;8,290;347;4.0
CN0100700000000;01;007;Bibb County, AL;2019;8,771;8,486;285;3.2
CN0100900000000;01;009;Blount County, AL;2019;25,580;24,855;725;2.8
CN0101100000000;01;011;Bullock County, AL;2019;4,862;4,672;190;3.9
CN0101300000000;01;013;Butler County, AL;2019;9,317;8,954;363;3.9
CN0101500000000;01;015;Calhoun County, AL;2019;46,806;45,055;1,751;3.7
CN0101700000000;01;017;Chambers County, AL;2019;15,991;15,498;493;3.1
CN0101900000000;01;019;Cherokee County, AL;2019;11,906;11,544;362;3.0
CN0102100000000;01;021;Chilton County, AL;2019;20,145;19,563;582;2.9
CN0102300000000;01;023;Choctaw County, AL;2019;4,722;4,489;233;4.9
CN0102500000000;01;025;Clarke County, AL;2019;7,717;7,250;467;6.1
CN0102700000000;01;027;Clay County, AL;2019;6,162;5,968;194;3.1
CN0102900000000;01;029;Cleburne County, AL;2019;5,862;5,667;195;3.3
CN0103100000000;01;031;Coffee County, AL;2019;22,075;21,400;675;3.1
CN0103300000000;01;033;Colbert County, AL;2019;24,080;23,126;954;4.0
CN0103500000000;01;035;Conecuh County, AL;2019;4,570;4,379;191;4.2
CN0103700000000;01;037;Coosa County, AL;2019;4,575;4,431;144;3.1
CN0103900000000;01;039;Covington County, AL;2019;15,788;15,215;573;3.6
CN0104100000000;01;041;Crenshaw County, AL;2019;6,534;6,339;195;3.0
CN0104300000000;01;043;Cullman County, AL;2019;39,128;38,052;1,076;2.7
CN0104500000000;01;045;Dale County, AL;2019;20,919;20,227;692;3.3
CN0104700000000;01;047;Dallas County, AL;2019;14,899;14,041;858;5.8
CN0104900000000;01;049;DeKalb County, AL;2019;31,625;30,688;937;3.0
CN0105100000000;01;051;Elmore County, AL;2019;37,804;36,758;1,046;2.8
CN0105300000000;01;053;Escambia County, AL;2019;14,843;14,290;553;3.7
CN0105500000000;01;055;Etowah County, AL;2019;43,127;41,594;1,533;3.6
CN0105700000000;01;057;Fayette County, AL;2019;6,684;6,464;220;3.3
CN0105900000000;01;059;Franklin County, AL;2019;14,815;14,381;434;2.9
CN0106100000000;01;061;Geneva County, AL;2019;11,100;10,753;347;3.1
CN0106300000000;01;063;Greene County, AL;2019;2,937;2,764;173;5.9
CN0106500000000;01;065;Hale County, AL;2019;6,172;5,914;258;4.2
CN0106700000000;01;067;Henry County, AL;2019;6,989;6,723;266;3.8
CN0106900000000;01;069;Houston County, AL;2019;47,013;45,513;1,500;3.2
CN0107100000000;01;071;Jackson County, AL;2019;23,691;22,862;829;3.5
CN0107300000000;01;073;Jefferson County, AL;2019;321,679;311,900;9,779;3.0
CN0107500000000;01;075;Lamar County, AL;2019;5,892;5,699;193;3.3
CN0107700000000;01;077;Lauderdale County, AL;2019;43,111;41,614;1,497;3.5
CN0107900000000;01;079;Lawrence County, AL;2019;14,451;13,969;482;3.3
CN0108100000000;01;081;Lee County, AL;2019;77,540;75,298;2,242;2.9
CN0108300000000;01;083;Limestone County, AL;2019;44,945;43,676;1,269;2.8
CN0108500000000;01;085;Lowndes County, AL;2019;3,558;3,341;217;6.1
CN0108700000000;01;087;Macon County, AL;2019;7,982;7,625;357;4.5
CN0108900000000;01;089;Madison County, AL;2019;187,748;182,614;5,134;2.7
CN0109100000000;01;091;Marengo County, AL;2019;7,802;7,512;290;3.7
CN0109300000000;01;093;Marion County, AL;2019;12,948;12,469;479;3.7
CN0109500000000;01;095;Marshall County, AL;2019;44,726;43,555;1,171;2.6
CN0109700000000;01;097;Mobile County, AL;2019;191,726;184,193;7,533;3.9
CN0109900000000;01;099;Monroe County, AL;2019;7,440;7,062;378;5.1
CN0110100000000;01;101;Montgomery County, AL;2019;107,719;104,201;3,518;3.3
CN0110300000000;01;103;Morgan County, AL;2019;59,177;57,562;1,615;2.7
CN0110500000000;01;105;Perry County, AL;2019;3,437;3,248;189;5.5
CN0110700000000;01;107;Pickens County, AL;2019;8,028;7,730;298;3.7
CN0110900000000;01;109;Pike County, AL;2019;15,570;15,030;540;3.5
CN0111100000000;01;111;Randolph County, AL;2019;9,644;9,331;313;3.2
CN0111300000000;01;113;Russell County, AL;2019;24,074;23,319;755;3.1
CN0111500000000;01;115;St. Clair County, AL;2019;41,319;40,139;1,180;2.9
CN0111700000000;01;117;Shelby County, AL;2019;118,161;115,416;2,745;2.3
CN0111900000000;01;119;Sumter County, AL;2019;4,833;4,600;233;4.8
CN0112100000000;01;121;Talladega County, AL;2019;36,213;34,904;1,309;3.6
CN0112300000000;01;123;Tallapoosa County, AL;2019;18,736;18,141;595;3.2
CN0112500000000;01;125;Tuscaloosa County, AL;2019;106,550;103,505;3,045;2.9
CN0112700000000;01;127;Walker County, AL;2019;25,541;24,647;894;3.5
CN0112900000000;01;129;Washington County, AL;2019;6,808;6,472;336;4.9
CN0113100000000;01;131;Wilcox County, AL;2019;2,754;2,547;207;7.5
CN0113300000000;01;133;Winston County, AL;2019;10,281;9,920;361;3.5
CN0201300000000;02;013;Aleutians East Borough, AK;2019;2,544;2,483;61;2.4
CN0201600000000;02;016;Aleutians West Census Area, AK;2019;3,633;3,516;117;3.2
CN0202000000000;02;020;Anchorage Borough/municipality, AK;2019;148,251;141,396;6,855;4.6
CN0205000000000;02;050;Bethel Census Area, AK;2019;7,081;6,235;846;11.9
CN0206000000000;02;060;Bristol Bay Borough, AK;2019;449;424;25;5.6
CN0206800000000;02;068;Denali Borough, AK;2019;1,097;1,013;84;7.7
CN0207000000000;02;070;Dillingham Census Area, AK;2019;1,978;1,833;145;7.3
CN0209000000000;02;090;Fairbanks North Star Borough, AK;2019;45,255;43,042;2,213;4.9
CN0210000000000;02;100;Haines Borough, AK;2019;1,129;1,035;94;8.3
CN0210500000000;02;105;Hoonah-Angoon Census Area, AK;2019;1,189;1,065;124;10.4
CN0211000000000;02;110;Juneau Borough/city, AK;2019;17,199;16,498;701;4.1
CN0212200000000;02;122;Kenai Peninsula Borough, AK;2019;26,425;24,757;1,668;6.3
CN0213000000000;02;130;Ketchikan Gateway Borough, AK;2019;6,987;6,587;400;5.7
